"id","device_id","device_fk","created_date","frwd_rod_count","rev_rod_count","point_no","device_type","is_online","lorry_status","compressor_status","rig_status","total_fuel","lorry_fuel","u_tank1","l_tank1","u_tank2","rpm","speed","direction","DISTANCE","lat","lon","d1","d6"
20511857882,"358735076652881",0,"2025-08-30 17:50:36",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,269,0,11.058024,77.075165,0,"0"
20511853371,"358735076652881",0,"2025-08-30 17:50:17",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,213,0,11.058032,77.075218,0,"0"
20511809606,"358735076652881",0,"2025-08-30 17:47:06",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,213,0,11.058032,77.075218,0,"0"
20511805219,"358735076652881",0,"2025-08-30 17:46:47",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,295,0,11.058036,77.075241,0,"0"
20511760841,"358735076652881",0,"2025-08-30 17:43:36",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,295,0,11.058036,77.075241,0,"0"
20511755976,"358735076652881",0,"2025-08-30 17:43:15",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,239,0,11.058024,77.075432,0,"0"
20511712613,"358735076652881",0,"2025-08-30 17:40:07",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,239,0,11.058024,77.075432,0,"0"
20511707914,"358735076652881",0,"2025-08-30 17:39:47",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,114,0,11.057967,77.075218,0,"0"
20511664412,"358735076652881",0,"2025-08-30 17:36:37",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,114,0,11.057967,77.075218,0,"0"
20511660382,"358735076652881",0,"2025-08-30 17:36:19",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,83,0,11.058012,77.075325,0,"0"
20511621731,"358735076652881",0,"2025-08-30 17:33:32",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,83,0,11.058012,77.075325,0,"0"
20511612100,"358735076652881",0,"2025-08-30 17:32:51",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,253,0,11.057944,77.075096,0,"0"
20511574430,"358735076652881",0,"2025-08-30 17:30:07",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,253,0,11.057944,77.075096,0,"0"
20511564469,"358735076652881",0,"2025-08-30 17:29:24",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,60,0,11.057989,77.075134,0,"0"
20511524039,"358735076652881",0,"2025-08-30 17:26:30",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,60,0,11.057989,77.075134,0,"0"
20511516600,"358735076652881",0,"2025-08-30 17:25:58",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,249,0,11.058006,77.075165,0,"0"
20511500792,"358735076652881",0,"2025-08-30 17:24:50",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,249,0,11.058006,77.075165,0,"0"
20511467778,"358735076652881",0,"2025-08-30 17:22:28",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,6,0,11.05803,77.075188,0,"0"
20511426478,"358735076652881",0,"2025-08-30 17:19:31",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,6,0,11.05803,77.075188,0,"0"
20511418932,"358735076652881",0,"2025-08-30 17:18:59",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,286,0,11.057959,77.075325,0,"0"
20511376165,"358735076652881",0,"2025-08-30 17:15:55",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,286,0,11.057959,77.075325,0,"0"
20511368581,"358735076652881",0,"2025-08-30 17:15:23",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,263,0,11.057963,77.07534,0,"0"
20511329899,"358735076652881",0,"2025-08-30 17:12:36",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,263,0,11.057963,77.07534,0,"0"
20511320912,"358735076652881",0,"2025-08-30 17:11:57",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,324,0,11.057992,77.07518,0,"0"
20511281713,"358735076652881",0,"2025-08-30 17:09:08",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,324,0,11.057992,77.07518,0,"0"
20511272420,"358735076652881",0,"2025-08-30 17:08:28",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,284,0,11.058006,77.075127,0,"0"
20511231198,"358735076652881",0,"2025-08-30 17:05:31",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,284,0,11.058006,77.075127,0,"0"
20511224181,"358735076652881",0,"2025-08-30 17:05:01",0,0,0,3,1,0,0,0,0,0,0,0,0,0,14,325,0,11.058138,77.074738,0,"0"
20511193863,"358735076652881",0,"2025-08-30 17:02:50",0,0,0,3,1,0,0,0,0,0,0,0,0,0,14,325,0,11.058138,77.074738,0,"0"
20511175957,"358735076652881",0,"2025-08-30 17:01:32",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,42,0,11.058,77.075157,0,"0"
20511142201,"358735076652881",0,"2025-08-30 16:59:06",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,42,0,11.058,77.075157,0,"0"
20511127901,"358735076652881",0,"2025-08-30 16:58:04",0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,332,0,11.058134,77.074699,0,"0"
20511091445,"358735076652881",0,"2025-08-30 16:55:26",0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,332,0,11.058134,77.074699,0,"0"
20511080230,"358735076652881",0,"2025-08-30 16:54:38",0,0,0,3,1,0,0,0,0,0,0,0,0,0,13,330,0,11.058154,77.075005,0,"0"
20511062553,"358735076652881",0,"2025-08-30 16:53:21",0,0,0,3,1,0,0,0,0,0,0,0,0,0,13,330,0,11.058154,77.075005,0,"0"
20511057890,"358735076652881",0,"2025-08-30 16:53:01",0,0,0,3,1,0,0,0,0,0,0,0,0,0,21,331,0,11.058902,77.074371,0,"0"
20511055410,"358735076652881",0,"2025-08-30 16:52:50",0,0,0,3,1,0,0,0,0,0,0,0,0,0,16,328,0,11.058138,77.074821,0,"0"
20511032495,"358735076652881",0,"2025-08-30 16:51:11",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,135,0,11.057947,77.074829,0,"0"
20510994048,"358735076652881",0,"2025-08-30 16:48:24",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,135,0,11.057947,77.074829,0,"0"
